caminho,silaba
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/sa/사_4_3.jpg,sa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eui/의_8_9.jpg,eui
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ra/라_2_9.jpg,ra
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ro/로_7_5.jpg,ro
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ha/하_8_7.jpg,ha
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ji/지_9_0.jpg,ji
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/dae/대_9_1.jpg,dae
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jo/조_7_6.jpg,jo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ri/리_0_3.jpg,ri
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yeo/여_6_3.jpg,yeo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gwa/과_1_2.jpg,gwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eo/어_0_9.jpg,eo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ga/가_1_4.jpg,ga
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eo/어_9_6.jpg,eo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gu/구_3_8.jpg,gu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeong/정_0_2.jpg,jeong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/seu/스_5_0.jpg,seu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/seong/성_9_8.jpg,seong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ra/라_5_2.jpg,ra
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ha/하_0_8.jpg,ha
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ra/라_7_2.jpg,ra
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yeo/여_8_8.jpg,yeo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/iss/있_6_8.jpg,iss
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bak/박_8_2.jpg,bak
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeong/정_9_0.jpg,jeong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/je/제_9_7.jpg,je
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/iss/있_3_0.jpg,iss
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/geos/것_1_5.jpg,geos
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hae/해_2_1.jpg,hae
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/neun/는_8_8.jpg,neun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/na/나_5_2.jpg,na
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeon/전_1_8.jpg,jeon
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hae/해_5_2.jpg,hae
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hwa/화_1_4.jpg,hwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gi/가_1_5.jpg,gi
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gwa/과_6_6.jpg,gwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/iss/있_6_0.jpg,iss
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/iss/있_2_7.jpg,iss
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gwa/과_9_5.jpg,gwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hae/해_1_8.jpg,hae
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ha/하_8_2.jpg,ha
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/guk/국_7_0.jpg,guk
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gwa/과_1_1.jpg,gwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/guk/국_5_6.jpg,guk
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/sang/상_0_1.jpg,sang
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jang/장_5_3.jpg,jang
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/reul/를_6_8.jpg,reul
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/guk/국_0_0.jpg,guk
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bo/보_5_9.jpg,bo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gyeong/경_5_2.jpg,gyeong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ha/하_8_9.jpg,ha
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eo/어_0_5.jpg,eo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/si/시_6_7.jpg,si
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ja/자_1_5.jpg,ja
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gu/구_1_2.jpg,gu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/deul/들_1_2.jpg,deul
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ro/로_6_2.jpg,ro
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yeon/연_6_5.jpg,yeon
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ha/하_6_5.jpg,ha
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/sang/상_0_4.jpg,sang
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ro/로_9_3.jpg,ro
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/do/도_7_1.jpg,do
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/neun/는_6_3.jpg,neun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/si/시_9_7.jpg,si
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/so/소_5_6.jpg,so
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/iss/있_0_0.jpg,iss
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ja/자_3_1.jpg,ja
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jang/장_6_3.jpg,jang
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hwa/화_2_5.jpg,hwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hwa/화_2_4.jpg,hwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeon/전_0_8.jpg,jeon
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeok/적_3_6.jpg,jeok
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yeo/여_5_2.jpg,yeo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/wi/위_3_7.jpg,wi
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gu/구_5_0.jpg,gu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gwa/과_7_7.jpg,gwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/guk/국_7_5.jpg,guk
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/i/이_7_9.jpg,i
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eu/으_8_0.jpg,eu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/seong/성_0_2.jpg,seong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/si/시_0_4.jpg,si
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/seu/스_7_1.jpg,seu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bak/박_0_3.jpg,bak
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eun/은_9_6.jpg,eun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hae/해_7_4.jpg,hae
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/seo/서_0_8.jpg,seo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yong/용_8_7.jpg,yong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ra/라_3_7.jpg,ra
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eun/은_1_7.jpg,eun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ja/자_4_1.jpg,ja
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/sa/사_5_2.jpg,sa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/seo/서_0_6.jpg,seo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/sang/상_0_8.jpg,sang
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bu/부_5_5.jpg,bu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eui/의_9_7.jpg,eui
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/dong/동_4_4.jpg,dong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeok/적_0_9.jpg,jeok
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/dae/대_2_7.jpg,dae
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hwa/화_4_3.jpg,hwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/reul/를_6_5.jpg,reul
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/neun/는_3_7.jpg,neun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/je/제_2_8.jpg,je
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/a/아_8_0.jpg,a
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/dae/대_9_8.jpg,dae
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/in/인_5_6.jpg,in
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yeon/연_3_9.jpg,yeon
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/wi/위_1_5.jpg,wi
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bo/보_6_4.jpg,bo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eun/은_2_1.jpg,eun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jang/장_7_5.jpg,jang
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ha/하_9_4.jpg,ha
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ja/자_1_1.jpg,ja
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/neun/는_7_1.jpg,neun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eui/의_9_1.jpg,eui
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/go/고_1_7.jpg,go
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hwa/화_7_3.jpg,hwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eun/은_4_4.jpg,eun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gim/김_3_1.jpg,gim
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/iss/있_1_5.jpg,iss
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/iss/있_9_5.jpg,iss
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ga/가_8_8.jpg,ga
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/dae/대_8_3.jpg,dae
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bo/보_3_4.jpg,bo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/su/수_3_1.jpg,su
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eo/어_8_9.jpg,eo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ju/주_5_3.jpg,ju
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eun/은_8_4.jpg,eun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/sa/사_8_6.jpg,sa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eui/의_4_1.jpg,eui
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ri/리_6_4.jpg,ri
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yong/용_1_2.jpg,yong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eui/의_0_4.jpg,eui
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yeon/연_3_8.jpg,yeon
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ri/리_2_0.jpg,ri
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/go/고_7_2.jpg,go
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/geu/그_7_9.jpg,geu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ri/리_5_4.jpg,ri
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/won/원_0_4.jpg,won
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/so/소_7_5.jpg,so
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ri/리_8_3.jpg,ri
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gu/구_1_1.jpg,gu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ji/지_2_0.jpg,ji
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hae/해_1_6.jpg,hae
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jo/조_1_4.jpg,jo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yeon/연_6_4.jpg,yeon
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeong/정_0_8.jpg,jeong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gi/가_3_2.jpg,gi
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/go/고_8_8.jpg,go
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeon/전_1_1.jpg,jeon
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gu/구_0_0.jpg,gu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/geu/그_7_8.jpg,geu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/go/고_6_8.jpg,go
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/a/아_4_5.jpg,a
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/da/다_3_8.jpg,da
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eo/어_1_3.jpg,eo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ro/로_9_7.jpg,ro
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/na/나_2_7.jpg,na
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/so/소_7_9.jpg,so
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/choe/최_3_1.jpg,choe
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gye/계_7_2.jpg,gye
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/il/일_0_7.jpg,il
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/iss/있_6_9.jpg,iss
