caminho,silaba
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jang/장_4_6.jpg,jang
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/go/고_0_4.jpg,go
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bak/박_9_6.jpg,bak
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/geu/그_9_2.jpg,geu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/sang/상_5_3.jpg,sang
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/i/이_8_5.jpg,i
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gong/공_7_2.jpg,gong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gyeong/경_7_9.jpg,gyeong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeok/적_6_9.jpg,jeok
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/do/도_4_9.jpg,do
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeon/전_0_9.jpg,jeon
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ju/주_5_0.jpg,ju
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/reul/를_9_9.jpg,reul
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ri/리_9_4.jpg,ri
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bak/박_3_3.jpg,bak
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ri/리_7_1.jpg,ri
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/na/나_0_8.jpg,na
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/won/원_4_6.jpg,won
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yeo/여_7_5.jpg,yeo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/da/다_8_0.jpg,da
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ra/라_3_9.jpg,ra
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/a/아_9_1.jpg,a
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bak/박_9_7.jpg,bak
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ga/가_0_1.jpg,ga
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gye/계_8_1.jpg,gye
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ro/로_3_0.jpg,ro
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeok/적_0_7.jpg,jeok
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/wi/위_3_8.jpg,wi
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/go/고_8_6.jpg,go
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/in/인_0_3.jpg,in
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/seu/스_0_4.jpg,seu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eul/을_2_2.jpg,eul
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gwa/과_4_2.jpg,gwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/seu/스_6_6.jpg,seu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/a/아_5_9.jpg,a
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/so/소_6_4.jpg,so
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hwa/화_5_2.jpg,hwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ri/리_4_2.jpg,ri
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gu/구_1_5.jpg,gu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/dae/대_9_5.jpg,dae
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/sang/상_9_9.jpg,sang
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gu/구_5_4.jpg,gu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/su/수_7_7.jpg,su
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/so/소_7_4.jpg,so
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ra/라_1_6.jpg,ra
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/go/고_8_5.jpg,go
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ju/주_1_5.jpg,ju
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/wi/위_7_2.jpg,wi
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/i/이_7_7.jpg,i
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ra/라_0_1.jpg,ra
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/seong/성_7_1.jpg,seong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eun/은_5_1.jpg,eun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jang/장_3_6.jpg,jang
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bu/부_8_7.jpg,bu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/si/시_7_9.jpg,si
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bak/박_0_8.jpg,bak
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yong/용_8_3.jpg,yong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/won/원_7_9.jpg,won
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gi/가_1_7.jpg,gi
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/seong/성_1_7.jpg,seong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ja/자_8_7.jpg,ja
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/guk/국_7_7.jpg,guk
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/seong/성_5_7.jpg,seong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/han/한_6_1.jpg,han
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gu/구_8_1.jpg,gu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eui/의_9_9.jpg,eui
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/si/시_1_5.jpg,si
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gyeong/경_3_7.jpg,gyeong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/neun/는_0_2.jpg,neun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ra/라_0_5.jpg,ra
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ga/가_5_7.jpg,ga
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeon/전_8_3.jpg,jeon
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/han/한_3_2.jpg,han
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/do/도_6_6.jpg,do
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gu/구_6_5.jpg,gu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/na/나_4_1.jpg,na
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeong/정_5_0.jpg,jeong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/si/시_1_1.jpg,si
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ji/지_5_8.jpg,ji
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ju/주_7_4.jpg,ju
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/i/이_8_2.jpg,i
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/do/도_7_7.jpg,do
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/su/수_1_3.jpg,su
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eu/으_5_3.jpg,eu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yong/용_4_4.jpg,yong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/geu/그_8_2.jpg,geu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yong/용_3_9.jpg,yong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/a/아_7_4.jpg,a
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/a/아_4_8.jpg,a
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eu/으_9_0.jpg,eu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/geos/것_5_2.jpg,geos
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eul/을_9_7.jpg,eul
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/so/소_1_5.jpg,so
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yong/용_6_3.jpg,yong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ro/로_4_5.jpg,ro
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bo/보_8_9.jpg,bo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/a/아_8_2.jpg,a
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ha/하_7_6.jpg,ha
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yeon/연_2_4.jpg,yeon
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jo/조_4_7.jpg,jo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eun/은_0_5.jpg,eun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yong/용_9_3.jpg,yong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/do/도_7_8.jpg,do
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/do/도_4_2.jpg,do
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/han/한_5_1.jpg,han
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hwa/화_3_2.jpg,hwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/han/한_9_9.jpg,han
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eui/의_2_6.jpg,eui
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hwa/화_6_0.jpg,hwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ji/지_7_3.jpg,ji
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bak/박_0_0.jpg,bak
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bo/보_5_5.jpg,bo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/iss/있_8_6.jpg,iss
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gong/공_1_7.jpg,gong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eui/의_2_8.jpg,eui
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gong/공_6_3.jpg,gong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/choe/최_1_6.jpg,choe
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eu/으_5_8.jpg,eu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/in/인_4_5.jpg,in
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/neun/는_9_2.jpg,neun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jo/조_4_0.jpg,jo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/geos/것_4_3.jpg,geos
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hwa/화_8_4.jpg,hwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ro/로_9_8.jpg,ro
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/je/제_0_6.jpg,je
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gye/계_4_3.jpg,gye
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/han/한_6_0.jpg,han
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ju/주_3_3.jpg,ju
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/geu/그_6_0.jpg,geu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ga/가_6_9.jpg,ga
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeong/정_7_1.jpg,jeong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/wi/위_6_8.jpg,wi
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gye/계_0_7.jpg,gye
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eui/의_5_6.jpg,eui
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eo/어_8_5.jpg,eo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/guk/국_6_1.jpg,guk
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ro/로_1_6.jpg,ro
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/deul/들_3_2.jpg,deul
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/reul/를_8_1.jpg,reul
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/seo/서_8_8.jpg,seo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/a/아_7_5.jpg,a
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/iss/있_2_2.jpg,iss
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/go/고_9_2.jpg,go
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bo/보_6_7.jpg,bo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ja/자_6_6.jpg,ja
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eul/을_2_5.jpg,eul
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/seu/스_1_4.jpg,seu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eul/을_4_6.jpg,eul
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gim/김_4_6.jpg,gim
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ja/자_2_4.jpg,ja
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/neun/는_4_4.jpg,neun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/neun/는_7_8.jpg,neun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gim/김_9_0.jpg,gim
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gyeong/경_2_3.jpg,gyeong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeong/정_2_1.jpg,jeong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeok/적_7_4.jpg,jeok
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/so/소_0_0.jpg,so
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/su/수_5_7.jpg,su
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/do/도_6_9.jpg,do
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/a/아_9_2.jpg,a
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gye/계_4_6.jpg,gye
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gim/김_8_9.jpg,gim
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/iss/있_8_0.jpg,iss
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gye/계_3_8.jpg,gye
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eu/으_8_1.jpg,eu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/in/인_2_5.jpg,in
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hwa/화_3_9.jpg,hwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/si/시_7_0.jpg,si
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gi/가_1_3.jpg,gi
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/na/나_5_6.jpg,na
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/e/에_1_3.jpg,e
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jang/장_5_9.jpg,jang
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jang/장_7_2.jpg,jang
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/iss/있_1_4.jpg,iss
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ju/주_3_7.jpg,ju
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ra/라_2_0.jpg,ra
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/geu/그_0_3.jpg,geu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/dae/대_0_3.jpg,dae
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bu/부_6_3.jpg,bu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/il/일_1_1.jpg,il
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/han/한_4_3.jpg,han
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gu/구_7_2.jpg,gu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/han/한_2_9.jpg,han
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeok/적_4_0.jpg,jeok
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/jeon/전_1_9.jpg,jeon
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/seong/성_9_9.jpg,seong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/a/아_8_7.jpg,a
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/je/제_9_6.jpg,je
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eo/어_3_9.jpg,eo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bak/박_2_7.jpg,bak
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eu/으_3_6.jpg,eu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eui/의_3_0.jpg,eui
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/il/일_2_2.jpg,il
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/sa/사_1_9.jpg,sa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/reul/를_7_4.jpg,reul
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/geos/것_8_7.jpg,geos
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/dong/동_2_1.jpg,dong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/dong/동_7_4.jpg,dong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yeon/연_9_1.jpg,yeon
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/won/원_5_0.jpg,won
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/bu/부_6_8.jpg,bu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/a/아_4_1.jpg,a
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/yeon/연_2_7.jpg,yeon
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/hwa/화_2_9.jpg,hwa
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/dae/대_6_2.jpg,dae
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gu/구_7_1.jpg,gu
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/in/인_4_6.jpg,in
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/go/고_4_3.jpg,go
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/neun/는_7_2.jpg,neun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/dae/대_6_0.jpg,dae
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/dong/동_2_5.jpg,dong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/a/아_5_8.jpg,a
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/guk/국_3_9.jpg,guk
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gyeong/경_1_8.jpg,gyeong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/da/다_1_1.jpg,da
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/eun/은_5_8.jpg,eun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/go/고_4_2.jpg,go
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ha/하_0_9.jpg,ha
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ro/로_8_1.jpg,ro
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/e/에_0_3.jpg,e
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ga/가_3_1.jpg,ga
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/il/일_5_4.jpg,il
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/neun/는_8_9.jpg,neun
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/ga/가_2_2.jpg,ga
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gong/공_0_1.jpg,gong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/il/일_3_8.jpg,il
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/deul/들_0_4.jpg,deul
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gi/가_6_4.jpg,gi
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/dae/대_7_3.jpg,dae
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/dong/동_7_3.jpg,dong
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/seo/서_8_3.jpg,seo
/home/jovyan/privado/Trabalho/Dataset/Hangul Database/Hangul Database/gyeong/경_5_7.jpg,gyeong
